"danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "track_uri" "duration_ms" "time_signature" "key_mode"
0.514 0.95 "G" -4.657 "major" 0.0725 1.09e-05 0.0135 0.19 0.149 130.027 "6hz6lrQtLcxOOjflnYjF9o" 467827 4 "G major"
0.424 0.886 "E" -5.24 "major" 0.0496 1.31e-05 0.751 0.123 0.292 125.796 "4wIwfc4nbnH6Kxy0iIe2Up" 676267 4 "E major"
0.229 0.875 "A" -5.677 "major" 0.0553 0.0148 3.2e-06 0.332 0.291 172.334 "4wfLPdmcaRGxkUP35RH7r4" 351000 5 "A major"
0.565 0.841 "E" -6.525 "major" 0.0412 0.0387 2.89e-05 0.14 0.662 100.274 "5wrLsgTlT0OS2FKFLuN0XL" 347893 1 "E major"
0.265 0.963 "E" -5.167 "major" 0.097 0.00238 0.00838 0.251 0.539 154.92 "51XygyBUiVQ84JIQ4zM2HQ" 244800 4 "E major"
0.319 0.881 "A" -5.705 "major" 0.0788 0.0587 0 0.154 0.574 111.083 "6kQe8MBvSdX8AD1UsjRv7w" 312360 4 "A major"
0.568 0.149 "G" -19.053 "major" 0.0349 0.82 0 0.113 0.199 108.225 "0jr4vNJF3wDt0CNNmuq7Zt" 62173 4 "G major"
0.476 0.95 "B" -5.855 "major" 0.122 0.0325 0.00251 0.161 0.208 139.986 "3ZZXgVY8u129jMvUc3mhti" 409400 4 "B major"
0.593 0.324 "G" -10.352 "major" 0.0289 0.747 3.3e-06 0.498 0.156 114.141 "19CegINw7X0pqHaY7YOaz8" 329267 4 "G major"
0.338 0.922 "D" -6.783 "major" 0.0709 0.0107 0.877 0.515 0.526 122.311 "7FTf3bJuCq5UYHjUwggKNB" 373693 4 "D major"
0.372 0.848 "C#" -5.587 "minor" 0.0427 0.0783 1.04e-05 0.114 0.219 108.21 "7lr5pyqusxUQgkJYk5rPX1" 226733 4 "C# minor"
0.321 0.544 "D" -7.179 "major" 0.0364 0.293 1.11e-05 0.11 0.283 127.284 "7ycz6sgZWp4wvF53BZVTjE" 398267 3 "D major"
0.312 0.73 "G#" -7.336 "minor" 0.117 0.135 0.000463 0.767 0.225 165.767 "77a7YkuBz7a5UiEhBMe1xp" 719773 4 "G# minor"
0.552 0.879 "F#" -4.888 "major" 0.0337 0.000707 0.0144 0.111 0.445 133.206 "6UVpUxvyb9SxAmyIkedp3I" 500400 4 "F# major"
0.49 0.92 "G#" -4.538 "minor" 0.054 0.000277 0.00652 0.092 0.638 154.19 "2dT365ss5aeTFYGZlPj5Eb" 298760 4 "G# minor"
0.312 0.898 "A" -5.049 "minor" 0.0495 0.00148 0.00457 0.0683 0.28 125.982 "3rSBC54a06a8Bamie645eO" 403067 3 "A minor"
